time,s0,s1,s2,s3,s4,s5,s6,s7
44.0,0.0,0.0,9.7016373,0.0,0.0,0.0,0.52667448,1.0896872
44.02,0.0,0.0,12.784612,0.0,0.0,0.0,0.66596169,1.087142
44.04,0.0,0.0,5.9326763,0.0,0.0,0.0,0.35458035,1.087142
44.06,0.0,0.0,4.2941966,0.0,0.0,0.0,0.27867933,1.0866091
44.08,0.0,0.0,12.759471,0.0,0.0,0.0,0.66598078,1.0866091
44.1,0.0,0.0,15.738611,0.0,0.0,0.0,0.80282128,1.0871562
44.12,0.0,0.0,3.4051967,0.0,0.0,0.0,0.23481285,1.0871562
44.14,0.0,0.0,-10.421093,0.0,0.0,0.0,-0.38858333,1.0873017
44.16,0.0,0.0,-5.6996527,0.0,0.0,0.0,-0.17469707,1.0873017
44.18,0.0,0.0,4.3913159,0.0,0.0,0.0,0.27874737,1.0896169
44.2,0.0,0.0,0.95462954,0.0,0.0,0.0,0.12426929,1.0896169
44.22,0.0,0.0,-5.1953816,0.0,0.0,0.0,-0.15156892,1.0941975
44.24,0.0,0.0,-11.534184,0.0,0.0,0.0,-0.43471768,1.0941975
44.26,0.0,0.0,2.0841525,0.0,0.0,0.0,0.17471794,1.0962884
44.28,0.0,0.0,9.1120892,0.0,0.0,0.0,0.49155716,1.0962884
44.3,0.0,0.0,3.4183891,0.0,0.0,0.0,0.23683396,1.0961365
44.32,0.0,0.0,4.0932617,0.0,0.0,0.0,0.26488343,1.0961365
44.34,0.0,0.0,4.4261317,0.0,0.0,0.0,0.27766071,1.093798
44.36,0.0,0.0,-13.54316,0.0,0.0,0.0,-0.51051392,1.093798
44.38,0.0,0.0,7.4111199,0.0,0.0,0.0,0.41165679,1.0926731
44.4,0.0,0.0,12.229733,0.0,0.0,0.0,0.6341738,1.0926731
44.42,0.0,0.0,11.336205,0.0,0.0,0.0,0.59541573,1.0927532
44.44,0.0,0.0,12.286422,0.0,0.0,0.0,0.63936772,1.0927532
44.46,0.0,0.0,11.393258,0.0,0.0,0.0,0.59795998,1.092536
44.48,0.0,0.0,8.7275906,0.0,0.0,0.0,0.47282361,1.092536
44.5,0.0,0.0,-2.1382439,0.0,0.0,0.0,-0.026910706,1.0907644
44.52,0.0,0.0,-4.0485983,0.0,0.0,0.0,-0.1150264,1.0907644
44.54,0.0,0.0,-1.4660164,0.0,0.0,0.0,0.00077800785,1.0911344
44.56,0.0,0.0,5.8545647,0.0,0.0,0.0,0.33654194,1.0911344
44.58,0.0,0.0,8.741025,0.0,0.0,0.0,0.46899735,1.0935283
44.6,0.0,0.0,9.8487005,0.0,0.0,0.0,0.52019822,1.0935283
44.62,0.0,0.0,12.322659,0.0,0.0,0.0,0.63608981,1.0964932
44.64,0.0,0.0,13.993222,0.0,0.0,0.0,0.71346522,1.0964932
44.66,0.0,0.0,11.708626,0.0,0.0,0.0,0.60805533,1.0979525
44.68,0.0,0.0,11.132608,0.0,0.0,0.0,0.58426401,1.0979525
44.7,0.0,0.0,13.59387,0.0,0.0,0.0,0.69861166,1.0987589
44.72,0.0,0.0,14.489386,0.0,0.0,0.0,0.74002306,1.0987589
44.74,0.0,0.0,15.372228,0.0,0.0,0.0,0.78052229,1.0997334
44.76,0.0,0.0,14.840431,0.0,0.0,0.0,0.75549406,1.0997334
44.78,0.0,0.0,11.235587,0.0,0.0,0.0,0.58937218,1.0989809
